cyclotomic polynomial,ցիկլոտոմիկ բազմանդամ,,,,,,,,
cylinder,գլան,,,,,,,,
decimal,տասնորդական,,,,,,,,
decreasing,նվազող,,,,,,,,
Dedekind cut,Դեդեկինդի հատույթ,,,,,,,,
deduction,դեդուկցիա,,,,,,,,
defining relations,որոշիչ առնչություններ,,,,,,,,
definition,սահմանում,,,,,,,,
degenerate,վերասերված,,,,,,,,
degree,աստիճան,,,,,,,,
degrees of freedom,ազատության աստիճաններ,,,,,,,,
denominator,հայտարար,,,,,,,,
dense,"խիտ, երբեմն՝ ամենուրեք խիտ",,,,,,,,
density,խտություն,,,,,,,,
density point,խտության կետ,,,,,,,,
derivative,ածանցյալ,,,,,,,,
descriptive statistics,նկարագրական վիճակագրություն,,,,,,,,
determinant,որոշիչ,,,,,,,,
diagonal,անկյունագիծ,,,,,,,,
diagonal dominance,անկյունագծային գերիշխում,,,,,,,,
diagonal matrix,անկյունագծային մատրից,,,,,,,,
diagonal matrix,անկյունագծային մատրից,,,,,,,,
diagonalization,անկյունագծայնացում,,,,,,,,
diameter,տրամագիծ,,,,,,,,
diametrically opposite ,տրամագծորեն հակադիր,,,,,,,,
diffeomorphism,դիֆեոմորֆիզմ,,,,,,,,
difference,տարբերություն,,,,,,,,
difference equation,տարբերական հավասարում,,,,,,,,
differentiable,"դիֆերենցելի, ածանցելի",,,,,,,,
differential form,դիֆերենցիալ ձև,,,,,,,,
differential form,դիֆերենցիալ ձև,,,,,,,,
digraph (=directed graph),դիգրաֆ (=կողմնորոշված գրաֆ),,,,,,,,
dihedral angle,երկնիստ անկյուն,,,,,,,,
dimension,չափողականություն,,,,,,,,
dimensionality reduction,չափողականության իջեցում,,,,,,,,
Dirac operator,Դիրակի օպերատոր,,,,,,,,
direct product,ուղիղ արտադրյալ,,,,,,,,
direct sum,ուղիղ գումար,,,,,,,,
directed line segment,ուղղորդված հատված,,,,,,,,
direction cosine,ուղղորդ կոսինուս,,,,,,,,
direction field,ուղղությունների դաշտ,,,,,,,,
directional derivative,ուղղությամբ ածանցյալ,,,,,,,,
directly proportional,ուղիղ համեմատական,,,,,,,,
discontinuity,խզում,,,,,,,,
discrete distribution,դիսկրետ բաշխում,,,,,,,,
discriminant,դիսկրիմինանտ,,,,,,,,
disjoint,"չհատվող, անհամատեղելի (պատահույթների դեպքում)",,,,,,,,
disjunctive normal form,դիզյունկտիվ նորմալ ձև,,,,,,,,
disk,շրջան,,,,,,,,
distance,հեռավորություն,,,,,,,,
distributive,բաշխական,,,,,,,,
divergence,"1․ տարամիտություն (շարքի), 2․ դիվերգենցիա (վեկտորական դաշտի) ",,,,,,,,
divided difference,բաժանվող տարբերություն,,,,,,,,
division algebra,բաժանումով հանրահաշիվ,,,,,,,,
divisor,բաժանարար,,,,,,,,
domain,"1․ տիրույթ (բաց կապակցված բազմություն), 2․ որոշման տիրույթ (ֆունկցիայի)",,,,,,,,
dominated convergence theorem,"Լեբեգի թեորեմ, մաժորանտով զուգամիտության թեորեմ ",,,,,,,,
dot product,սկալյար արտադրյալ,,,,,,,,
double factorial,կիսաֆակտորիալ,,,,,,,,
double integral,կրկնակի ինտեգրալ,,,,,,,,
dual space,համալուծ տարածություն,,,,,,,,
duality,"երկակիություն, համալուծություն",,,,,,,,
edge,"1․ կողմ (բազմանկյան մեջ), 2․ կող (գրաֆի մեջ)",,,,,,,,
efficient estimator,արդյունավետ գնահատական,,,,,,,,
eigenspace,սեփական տարածություն,,,,,,,,
eigenvalue,սեփական արժեք,,,,,,,,
eigenvector,սեփական վեկտոր,,,,,,,,
element,"տարր, էլեմենտ",,,,,,,,
elementary matrix,տարրական մատրից,,,,,,,,
elementary row operation,տարրական տողային գործողություն / ձևափոխություն,,,,,,,,
elliptic,էլիպտիկ / էլիպտական ,,,,,,,,
embedding,ներդրում,,,,,,,,
empty set,դատարկ բազմություն,,,,,,,,
enclosed volume,պարփակված ծավալ,,,,,,,,
endomorphism,էնդոմորֆիզմ,,,,,,,,
endpoint,ծայրակետ,,,,,,,,
entire function,ամբողջ ֆունկցիա,,,,,,,,
entropy,էնտրոպիա,,,,,,,,
epimorphism,էպիմորֆիզմ,,,,,,,,
equality,հավասարում,,,,,,,,
equation,հավասարություն,,,,,,,,
equiareal ,հավասարամեծ,,,,,,,,
equicontinuous,հավասարաստիճան անընդհատ,,,,,,,,
equidistant,հավասարահեռ,,,,,,,,
equidistributed,հավասարաչափ բաշխված,,,,,,,,
equilateral,հավասարակողմ,,,,,,,,
equinumerous,"հավասարազոր, հավասարաքանակ",,,,,,,,
equiprobable,"հավասարահավանական, հավասարահնարավոր",,,,,,,,
equivalence relation,համարժեքության հարաբերություն,,,,,,,,
equivalent,համարժեք,,,,,,,,
ergodic,էրգոդիկ,,,,,,,,
error,սխալանք,,,,,,,,
essential singular point,էապես եզակի կետ,,,,,,,,
estimator,գնահատական,,,,,,,,
Euclidean algorithm,Էվկլիդեսի ալգորիթմ,,,,,,,,
Euler's number,Էյլերի թիվ,,,,,,,,
Eulerian path / trail,էյլերյան ճանապարհ,,,,,,,,
even,զույգ,,,,,,,,
event,պատահույթ,,,,,,,,
everywhere dense,ամենուրեք խիտ,,,,,,,,
exact differential,"լրիվ դիֆերենցիալ, երբեմն նաև՝ ճշգրիտ դիֆերենցիալ",,,,,,,,
exhaustion by compact sets,կոմպակտ սպառում,,,,,,,,
existence,գոյություն,,,,,,,,
expectation / expected value,մաթսպասում (=մաթեմատիկական սպասում),,,,,,,,
explicit,բացահայտ,,,,,,,,
exponent,"էքսպոնենտ, ցուցիչ",,,,,,,,
exponential,"ցուցչային, էքսպոնենցիալ",,,,,,,,
extended $\mathbb{R}$,ընդլայնված $\mathbb{R}$,,,,,,,,
extension,"1․ ընդլայնում (հանրահաշվական օբյեկտի), 2․ շարունակություն (ֆունկցիայի)",,,,,,,,
exterior,արտաքնամաս,,,,,,,,
external point,արտաքին կետ,,,,,,,,
extreme point,գագաթնային կետ,,,,,,,,
face,նիստ,,,,,,,,
Fatou's lemma,Ֆատուի լեմմա,,,,,,,,
fiber,շերտ,,,,,,,,
Fibonacci sequence,Ֆիբոնաչիի հաջորդականություն,,,,,,,,
field,դաշտ,,,,,,,,
field characteristic,դաշտի բնութագրիչ,,,,,,,,
field extension,դաշտի ընդլայնում,,,,,,,,
filtration,ֆիլտրացիա,,,,,,,,
finer topology,[ավելի] ուժեղ տոպոլոգիա,,,,,,,,
finite complement topology,վերջավոր լրացումների տոպոլոգիա,,,,,,,,
finite difference method,վերջավոր տարբերությունների մեթոդ,,,,,,,,
